en,zu,source
I just got PATHFINDER I got a lot more GIJOES.,Ngithole iPATHFINDER ngaba GIJOES kakhulu.,News Crawl 2019
"Boasting parkland gardens, the home also has views of the Sydney skyline from the backyard.","Lisho ngengadi yasepaki, ikhaya futhi linezindawo ezifana nesibhakabhaka saseSydney ngemuva kwegceke.",News Crawl 2019
"It's the kind of mindset that carries chilling echoes of the past: the expression of an arrogant, self-entitled elite whose refusal to acknowledge anything other than its own view - in this case, the notion that Brexit is a massive right-wing conspiracy and not a genuine demand for change from the majority of British voters - makes them blind to the risks they take in dismissing anyone who offends them.","Kuyindlela yokucabanga egcwele insila yayizolo: ukuvela kwezifundiswa ezizindlavini futhi ezizithwele ezinqaba ukwamukela eminye imibono ngaphandle kweyazo kulokhu, le nto yokuthi iBrixit uhlelo lokulimaza olukhulu lwabangakwesokudla kwipolitiki futhi akusona isiphoqelelo soshintsho esivela kubavoti abaningi baseBrithani – kwenza bangaboni izingozi abazithathayo uma bengalaleli muntu obacasulayo. ",News Crawl 2019
Now Playing: Coast Guard paychecks held hostage by shutdown,Manje Okudlalayo: amasheki eCoast Guard abanjwe ngukuvalwa,News Crawl 2019
Two mistaken ideas,Imibono emibili eyiphutha,News Crawl 2019
"""As I said, really solving homelessness is probably going to piss off conservatives and super liberal people,"" Garcetti said.","“Njengoba ngishilo, ukuxazulula inkinga yokungabi namakhaya kuzocasula abangalufuni uguquko nalabo abakhululeke kakhulu. ",News Crawl 2019
"The Wentworth event has been moved to 19-22 September to accommodate the US PGA Championship, which will now be staged this month, meaning a lot of the focus since the end of the European Tour's Middle East Swing has been on the PGA Tour in America.","Umcimbi waseWentworth usuhlehliselwe uSeptember ziyi-19-22 ukuze kuvulelwe i-US PGA Championship, esizokwenzeka kule nyanga, okusho ukuthi okuningi okwenziwayo kusukela kuphela i-Middle East Swing ye-European Tour besekukwi-PGA Tour eMelika.",News Crawl 2019
"Fashion Editor, British GQ Style","UMhleli Wemfashini, iBritish GQ Style",News Crawl 2019
Mobbing's a bit like that but without the physical violence (usually).,Ukuba yiqulu kanjalo nje kodwa ngaphandle kodlame olubonakalayo (ngokuvamile).,News Crawl 2019
I'm sick of being vilified and shut out of their lives.,Ngikhathele ukuhlanjalazwa nokukhishwa ezimpilweni zabo.,News Crawl 2019
I can only assume she did not know she was doing this in front of a 2nd floor window.,Ngingacabanga kuphela ukuthi ubengazi ukuthi ubenza lokhu ngaphambi kwewindi lesitezi sesibili.,News Crawl 2019
"Beginning in 2017, Heffer and coauthors surveyed 6th, 7th, and 8th graders in Ontario, Canada once a year for two years. The researchers also conducted annual surveys of undergraduate participants, beginning in their first year of university over a span of 6 years.","Kuqala ngowezi-2017, uHeffer nabhala nabo basaveya abafundi bebanga lesi-6, lesi-7 nelesi-8 e-Ontario, eCanada kanye ngonyaka iminyaka emibili. Abacwaningi babuye benza amanye amasaveyi abafundi abangakazitholi iziqu, kusukela onyakeni wokuqala enyuvesi esikhathini esiyiminyaka eyisithupha.",News Crawl 2019
"He said they were wearing masks and yelled racial and homophobic slurs, poured some kind of substance on him and put a noose around his neck before fleeing.","Uthe bebefake amamaski bememeza inhlamba ukucwasa ngokwebala nangokokubandlulula ongqingili, bathela okuthile kuye bafaka intambo enesihibe entanyeni yakhe ngaphambi kokuphunyuka.",News Crawl 2019
"And in his look ahead at CEIBS' future, President (European) Dipak Jain told the audience that, ""there is a much bigger journey, one that is about making a difference in other parts of the world.""","Futhi ukubheka kwakhe ngaphambili ekusaseni le-CEIBS, uMengameli (waseYurophu) Dipak Jain utshele abebelalele ukuthi, “kunohambo olukhulu, oluzoletha umehluko kwezinye izingxenye zomhlaba.”",News Crawl 2019
"The company's firm order backlog is $17,100,000 at the end of the 1st six months as compared to $13,300,000 at the beginning of the fiscal year.","Ukusalela emuva kwenkampani kuma-oda kuyizi-$17,100,000 ekupheleni kwezinyanga eziyisithupha uma kuqhathaniswa nezi-$13,300,000 ekuqaleni konyaka wezimali.",News Crawl 2019
Gold found in drilling exercise in Co Cavan,IGolide litholakale ngesikhathi kwenziwa umsebenzi wokudrila eCo Cavan,News Crawl 2019
"""Ensure that you have enough fuel for your journey and your tyres have sufficient tread.",Qinisekisa ukuthi unophethiloli owanele wohambo lwakho nokuthi amathaya akho anemidwebo ephelele.,News Crawl 2019
"""He is able to say ""Boris Johnson.""",“Uyakwazi ukuthi “Boris Johnson.”,News Crawl 2019
Pancreatic cancer is also very difficult to treat as the tumours have resistance to many anti-cancer drugs -- so these molecules could become a valuable tool in combating the condition.,Umdlavuza wobende kunzima ukuwelapha njengoba izigaxa zawo zizinqaba izidakamizwa ezilwa nomdlavuza – ngakho lawa mamolekhuli angaba yithuluzi elibalulekile ukulwisana nalesi simo.,News Crawl 2019
Not that often or I'd be buying new pants all the time.,Hhayi njalo noma ngithenga amabhulukwe amasha ngaso sonke isikhathi.,News Crawl 2019
Robinson has been on a tour of the country after he announced his candidacy in tomorrow's European elections.,URobinson ubelokhu esohambeni lezwe emva kokumemezela ukungenela kwakhe ukhetho lwaseYurophu kusasa.,News Crawl 2019
"Unsurprisingly, though, the room greeted Sanders and Warren with the most enthusiasm.","Ngokungamangalisi, empeleni, indlu ibingelele uSanders noWarren ngokuthokoza okukhulu.",News Crawl 2019
"""To build on the vibrant and multi-faceted partnership between our two countries, it is pertinent that we leverage our common strategic interests, further enhance connectivity and economic engagement and promote people-to-people contacts,"" he said.","“Ukwakhela phezu kokubambisana obuhle nobunhlobonhlobo phakathi kwamazwe ethu amabili, kubalulekile ukuthi siphakamisa izinto ezifanayo kithi, siqinise ukuxhumana nokusebenza ngomnotho nokugqugquzela ukuxhumana phakathi kwabantu,” usho njalo.",News Crawl 2019
Billy Nelson urges Eddie Hearn to give Martin Bakole a call for Derek Chisora showdown,UBilly Nelson unxusa u-Eddie Hearn ukuba afonele uMartin Bakole ngokuvalwa kwe-DerekChisora,News Crawl 2019
"In the resignation letter on Tuesday, Dlamini suggested she was aware of wives of ANC members who were allegedly involved in dubious financial relationships with former social grants service provider, Cash Paymaster Services (CPS).","Encwadini yokushiya emsebenzini ngoLwesibili, uDlamini uphakamise ukuthi ubazi ngamakhosikazi amalunga e-ANC abenobudlelwano obungalungile ngezimali nenkampani ebisiza ngezibonelelo zikahulumeni, iCash Paymaster Services (CPS).",News Crawl 2019
"""We're very confident. We have always maintained that the facts have always been as Maria said,"" her lawyer, Muhammad Farhan Shafee, said on Monday.","“Siqinisekile. Silokhu sinalokho kokuthi amaqiniso abelokhu enjengoba uMaria eshilo,” ummeli wakhe, uMohammed Farhan Shafee, ushilo ngoMsombuluko.",News Crawl 2019
"5, will again play two Power Five programs (Louisville again and Indiana) next season.","5, uzodlala futhi izinhlelo ezimbili zePower Five (iLouisville futhi ne-Indiana) ngesizini ezayo.",News Crawl 2019
"In fact, they thrived when the world was turned against them.","Empeleni, basimama ngesikhathi umhlaba wawubajikele.",News Crawl 2019
"It takes more time, but I think anyone you talk to will say, if we could, we'd stick to hand lettering because it's organic and it's art.","Kuthatha isikhathi, kodwa ngicabanga ukuthi wonke umuntu okhuluma naye uzothi, uma kungenzeka, bekumele sihlale ekubhaleni ngesandla ngoba akuthakwe nalutho futhi kungubuciko.",News Crawl 2019
"""That's in the past,"" Braves outfielder Ender Inciarte said.","“Lokho sekwedlule,” kusho umdlali wangaphandle kwenkundla weBraves u-Ender Inciarte.",News Crawl 2019
Mr Premadasa backers numbering 45 parliamentarians have written to assembly Speaker Karu Jayasuriya to recognise him as LOP.,Abaseki bakaMnu. Premadasa ababalelwa kumalunga ephalamende angama-45 sebebhalele uSomlomo wendlu uKaru Jayasuriya ukumamukela njenge-LOP.,News Crawl 2019
"Turkey's president on Thursday threatened to ""open the gates"" and allow a flood of Syrian refugees to leave Turkey for Western countries unless a so-called ""safe zone"" is established inside Syria soon in negotiations with the Americans.","NgoLwesine umongameli waseTurkey usabise ngokuthi ""uzovula amasango"" bese evumela iqulu lababaleki baseSyria ukuba bashiye iTurkey baye emazweni aseNtshonalanga ngaphandle kokuthi kusungulwe indawo ebizwa ngokuthi ""indawo ephephile"" ngaphakathi eSyria maduzane lapho kubanjwe izingxoxo nabaseMelika.",News Crawl 2019
Marine life threatened as oceans lose oxygen due to climate change,Impilo yasolwandle ithanda ukuphazamiseka njengoba ulwandle lulahlekelwa yi-oksijini ngenxa yokushintsha kwesimo sezulu,News Crawl 2019
(Reuters) - American Jarrell Miller says he never knowingly took a banned substance and will appeal a decision to revoke his license over an adverse finding from a doping test ahead of his heavyweight title fight with Britain's Anthony Joshua.,(IReuters) - UJarrell Miller waseMelika uthi akakaze athathe izikhuthazi mzimba ezingavunyelwe  ngamabomu futhi uzophikisa isinqumo sokuhoxisa ilayisense yakhe ngokutholwa okuphambene nokuhlolwa kwesikhuthazi idhophingi  ngaphambi kwempi yakhe yesicoco sosondonzima no-Anthony Joshua waseBrithani.,News Crawl 2019
"""Mental health issues are very important, it's a big thing in society and we have to recognise it, acknowledge it and do something about it,"" he said.","Uphawule wathi          “Izindaba eziphathelene  nokugula ngengqondo zibaluleke kakhulu, okuyinto enkulu emphakathini futhi okumele siyiqaphele, siyivume futhi senze okuthile ngayo.” ",News Crawl 2019
"""Lisa was an angel. She was kind, considerate and would always go the extra mile. No one had a bad word to say about her,"" adds Margaret.","""ULisa wayeyingelosi. Wayenomusa, ecabangela abanye futhi ehlala ehamba ibanga elide. Akekho owayengasho okubi ngaye,"" kwengeza uMargaret.",News Crawl 2019
"She was left feeling ""disgusted"" when the driver would not let her use her own card to pay for her son, who has autism.","Usale ezizwa “enengekile” ngesikhathi umshayeli engamvumeli ukuthi asebenzise ikhadi lakhe ukukhokhela indodana yakhe, ene-othizimu.",News Crawl 2019
"The Pens definitely have an edge on paper with the presence of power play quarterback Sergei Gonchar, a weapon unlike any in the Rangers' arsenal.","AmaPeni impela anomthelela othile  ephepheni ngokuba khona komdlalo onamandla  kuyikota yangemuva uSergei Gonchar, isikhali esingafani nesinye sezikhali zeRanger.",News Crawl 2019
But those never bared any fruit.,Kepha lezo azikaze zithele izithelo.,News Crawl 2019
4/8 patty-bouvier.jpg,4/8 patty-bouvier.jpg,News Crawl 2019
"Later that night, around 8.pm, more bizarre messages were sent from Ms Haley's Facebook account claiming, ""she fell in the lake"" and ""tried to kill her (sic) self.""","Kamuva ngalobo busuku, ngehora lesi-8: 00 kusihlwa, kwathunyelwa imiyalezo eyinqaba evela ku-akhawunti ka-Facebook kaNkz Haley ethi, ""wawela echibini"" futhi ""wazama ukuzibulala.""",News Crawl 2019
I'm really excited about him because the best is to come as he's got a bit of growing to come.,Ngijabule kakhulu ngaye ngoba okuhle kuyeza  njengoba esakhula kancane kancane.,News Crawl 2019
It was long after his Fine Gael leadership role went up in smoke that Alan Dukes got credit for his Tallaght strategy that supported responsible economic reforms carried out by the minority Fianna Fáil government.,Kwaba isikhathi esidlule  ngemuva kokuthi indima yakhe yobuholi beFine Gael yashabalala lapho u-Alan Dukes ethola udumo ngecebo lakhe leTallaght elalisekela izinguquko kwezomnotho ezinomthelela ezenziwa uhulumeni omncane weFianna Fáil.,News Crawl 2019
Believe you deserve better terms on your Apple Card? Here's what to do,Uyakholelwa ukuthi ufanelwe izindlela ezilula zokukhokha ngeKhadi lakho le-Apple? Nakhu okumele ukwenze,News Crawl 2019
Hideki Matsuyama v Tony Finau,Hideki Matsuyama  ebhekene noTony Finau,News Crawl 2019
"The oused president has also been charged with incitement and involvement in the killing of protesters, and this week he was summoned for questioning over his role in the 1989 military coup that brought him to power.","UMengameli oxoshiwe ubhekene necala lokugqugquzela nokubamba iqhaza ekubulaweni kwababhikishi, kanti kuleli sonto ubizelwe ukuyophenywa ngeqhaza lakhe embusweni wamasosha owambeka esikhundleni ngonyka we-1989",News Crawl 2019
Joselu gives Newcastle the lead in extra time,UJoselu unikeza iNewcastle ukuhola esikhathini esengeziwe,News Crawl 2019
"He predicts that by Christmas 2020, many packages will be delivered this way: by an airborne drone lowering its payload to the ground.","Ubikezela ukuthi ngoKhisimusi ngonyaka wezi-2020, izijumbana  eziningi zizobe zithunyelwe ngale ndlela: ngendiza yomoya ehlisa umthwalo wayo phansi.",News Crawl 2019
US-UK citizen arrested for spying in Russia calls on Trump for help,Isakhamuzi sase-US-UK eRashiya sicela usizo kuTrump,News Crawl 2019
"I said, ""I gotta stay within an hour of my house.""","Ngathi, ""Kuzofanele ngihlale okungenani ihora  endlini yami.""",News Crawl 2019
"Chances continued to stream in for Chennaiyin but they let themselves down with their finishing. In the 72nd minute, a good bit of play between Thapa and Schembri saw the latter find space to shoot but he dragged his effort wide. A minute later, Crivellaro's cross was deflected goalward by Pritam Kotal but Bhattacharya got down smartly to save.","Amathuba aqhubeka nokungena eChennaiyin kepha bazithoba bewele ngaphansi ekugcineni . Ngomzuzu wama-72, umdlalo omncane phakathi kukaThapa noSchembri ubone owokugcina ethola isikhala sokukora kodwa badlala ngamathuba amaningi. Ngemuva komzuzu, ukukhahlela kwakhe uCrivellaro okwabe kungaqondile kwaba yigoli eladalwa nguPritam Kotal kodwa uBhattacharya wakhombisa  ukukhalipha ukuze alibambe.",News Crawl 2019
The weekend brunch offering extends into the late afternoon and includes everything from a traditional Scottish breakfast to vegan pancakes - all to be washed down with a Bloody Mary or a colourful smoothie.,Umnikelo webranji  ngempelasonto uqhubeke kwaze kwaba ntambama futhi kufaka konke kusuka kwisidlo sasekuseni saseScotland kuya kumakhekhe enziwe epanini ase-vegan - konke kufanele kuhlanzwe nge-Bloody Mary noma isimuthi  esinemibala.,News Crawl 2019
You can return to your fitness regime the next day.,Ungabuyela ekuzivocavoceni ngosuku olulandelayo.,News Crawl 2019
"For much of the evening, however, Mr. Biden seemed to recede from the foreground as other candidates battled around him - though when he did speak, he delivered his smoothest remarks from a debate stage to date this cycle.","Esikhathini  esiningi sakusihlwa, nokho, uMnu. Biden ubebonakala ehamba phambili njengoba abanye ababezongenela ukhetho bebelwa ngaye  - okwathi ngesikhathi ekhuluma, wethula inkulumo emnandi esiteji senkulumompikiswano kuze kube manje kulo mjikelezo.",News Crawl 2019
"""9 Shockingly Tone-Deaf Ads That Should Have Never Happened""",Izikhangiso Ezithusayo Zezithoni Zabangezwa eziyi-9 Okwabe kungafanele Zenzeke ”,News Crawl 2019
Drake: boos of audience will be music to his creative ears,UDrake: izihlwele zezethameli  zizoba ngumculo ezindlebeni zakhe zokuzakhela,News Crawl 2019
"With Glastonbury getting into full swing, get up to date with all the latest developments via our liveblog.","Njengoba iGlastonbury ingena ngokugcwele, yiba sezintweni ezihambisana nesikhathi  ngokuxhumana neblokhi yethu  bukhoma.",News Crawl 2019
"Now, an interim analysis assessed updated data from a sub-set of patients (94/126) with available electronic health records (all from the U.S).","Manje, ukuhlaziywa kwesikhashana kuhlole idatha ebuyekeziwe evela kusethi yeziguli (ezingama-94/126) enamarekhodi ezempilo e-nge-elektroniki (konke okuvela e-U.S).",News Crawl 2019
"The song's opening lyrics, which include the lines, ""Taking off his turban, they said is this man a Jew?"" and ""They put up a poster saying we earn more than you"" make specific reference to the marginalization of certain groups and inequities in society instilled by the establishment.","Amagama wokuvula ingoma, abandakanya imigqa ethi, ""Bakhumula isiphandla, bathi ngabe le ndoda ingumJuda yini?"" futhi ""Bafaka iphosta ethi sihola kakhulu kunawe"" kubhekiswa ngqo ekubandlululweni kwamaqembu athile kanye nokungalingani emphakathini okuvezwa  yileso sikhungo.",News Crawl 2019
"The borough of Waltham Forest, where the killing happened, is due to receive £3m over the next four years for programmes preventing gang crime and violence.","Isifunda saseWaltham Forest, lapho kwenzeka khona lesi sigameko sokubulawa kwabantu, kulindeleke ukuthi sithole izigidi ezi- £ 3m eminyakeni emine ezayo ngezinhlelo ezivimbela ubugebengu bamaqembu ezigelekeqe nodlame.
",News Crawl 2019
"They said he converted to Islam in 2014 and had been living in Eastleigh, Nairobi.","Bathe waguqukela enkolweni yamaSulumane ngo-2014 kanti ubehlala e-Eastleigh, eNairobi.",News Crawl 2019
"Dominic Grieve and his colleagues are starting to fear he is right. And that in a Downing Street operation that is prepared to fight constitutional fire with constitutional fire, they have finally met their match.","UDominic Grieve nozakwabo sebeqala ukwesaba ukuthi uqinisile. Futhi kulowo msebenzi we-Downing Street olungiselelwe ukulwa impi yomlilo yomthethosisekelo ngomlilo womthethosisekelo, ekugcineni bahlangane befana.",News Crawl 2019
"""A serious looker"": datterini tomato tart.","""Umbukeli obukhali"": i-datherini  yethati yotamatisi.",News Crawl 2019
"She told the special counsel's office she was shocked by the emails, saying in her March 2018 testimony they looked ""really bad.""","Utshele ihhovisi labameli abakhethekile ukuthi uthukile ngama-imeyili, wathi ebufakazini bakhe bukaMashi 2018 babukeka ""kabi kakhulu.""",News Crawl 2019
"Based on the condition of the bodies and the fact the team's camp was in tatters, rescue workers hypothesize that the team was killed by the storm's ferocious winds.","Ngokuya ngesimo sezidumbu nokuthi ikamu leqembu belishubile, abasebenzi bezokutakula bacabanga ukuthi leli thimba labulawa yimimoya enamandla yesiphepho.",News Crawl 2019
The plan now is to train up volunteers with the skills to find and note down every piece of graffiti in the building.,Uhlelo manje ukuqeqesha amavolontiya ngamakhono okuthola nokubhala phansi yonke into ebhalwe esakhiweni.,News Crawl 2019
The fight between Democratic candidates over socialism heats up,Iyashuba impi phakathi kwabafuna iNtando Yeningi ngenxa yobusoshiyali,News Crawl 2019
"The ruling could also have ramifications for other companies that operate electronic marketplaces, such as Alphabet's Google and Amazon. Neither company responded to a request for comment.","Lesi sinqumo singaba nezinzuzo kwezinye izinkampani ezisebenzisnge-inthanethi,   njenge-Google ne-Amazon yama-Alfabethi. Ayikho inkampani ephendulile esicelweni sokuphawulwayo.",News Crawl 2019
"John England, 64, said the creature dashed over clothing before racing around his bedroomCredit: Matthew Pover/Matthew Pover Limited.","UJohn England, 64, uthe lesi sidalwa sigijimele izingubo ngaphambi kokugijima egumbini lakhe lokulala: UMatthew Pover / Matthew Pover Limited.",News Crawl 2019
The Latest on the shooting in Virginia Beach (all times local):,Okwamuva ngokudubula Olwandle laseVirginia (sonke isikhathi sendawo):,News Crawl 2019
The atmospheric pressure is and will remain close to the average for July.,Umfutho womoya ukhona futhi uzohlala useduze nesilinganiso sikaJulayi.,News Crawl 2019
A double blessing.,Isibusiso esiphindwe kabili.,News Crawl 2019
"On the stage was 22-year-old Edgar Sebastian Martínez, who plays the title character, a comic-book-obsessed Dominican-American teenager whose shyness and body issues prevent him from flirting with women.","Esiteji bekukhona u-Edgar Sebastian Martínez oneminyaka engama-22, odlala indawo yomlingisi, intombazane yaseDominican-American enamahloni nezinkinga zomzimba ezimvimbela ekuqomeni abesifazane.",News Crawl 2019
"The two of them ended up in a bar, ""with a TV the size of a postage stamp,"" Colin explained.","Bobabili bagcine sebesendaweni yokucima ukoma, ""eneThelevishini  elingana nesitembu sokuposa,"" kuchaza uColin. ",News Crawl 2019
Sadly the school seems to think his trousers are more important than his education.,Ngokudabukisayo isikole sibonakala sicabanga ukuthi ibhulukwe lakhe libaluleke ngaphezu kwemfundo yakhe.,News Crawl 2019
"While the female terrorists are kept in the detention facility, their children are given protected care in a welfare holding facility, not a detention facility, where they could be accessed by their mothers under supervision by female personnel.","Ngenkathi abashokobezi besifazane begcinwe endaweni yokuboshwa, izingane zabo zinikezwa ukunakekelwa okuvikelwe endaweni yenhlalakahle, hhayi indawo yokuboshwa, lapho zingatholwa khona omama bazo ngaphansi kokuqondiswa ngabasebenzi besifazane.",News Crawl 2019
"On that final word, she lifts her hairbrush into the air and holds onto her script, becoming Lady Liberty. And that's how the movie ends!","Waphetha ngelokuthi, uphakamisa ibhulashi lakhe lezinwele  emoyeni  abambelele kumbhalo wakhe, abenguLady Liberty. Uphela kanjalo-ke lowo mdlalo!",News Crawl 2019
I don't see this as a far-right issue.,Angikuboni lokhu njengenkinga ekude kakhulu.,News Crawl 2019
Judi said winners Greg O'Shea and Amber Gill looked genuinely surprised to winCredit: Rex Features,UJudi uthe abaphumelele  uGreg O'Shea no-Amber Gill babukeka bemangele ngempela ngokuphumelela Isikweletu: Izici zikaRex,News Crawl 2019
"I am sorry in many ways you have not seen David but if he did not ask Bertie after any of us, perhaps it is as well.","Ngiyaxolisa kakhulu ukuthi awumbonanga uDavid kodwa uma engazange abuze uBertie ngemuva kwanoma ngubani wethu, mhlawumbe kulungile. ",News Crawl 2019
"Now he has gone back to the February pattern, while up front adding the beef of Courtney Lawes and the twin ­openside model that is so voguish.","Manje usebuyele kuyiphethini yakudala kaFebhuwari, ngenkathi phambili engeza inyama yenkomo yeCourtney Lawes nemodeli yamawele evulekile ehlonishwa kakhulu.",News Crawl 2019
"""Rylan is ambitious and is keen to make his mark on the show. He is determined to win over people and be as popular as Zoe.","""URylan unesifiso sokuqhakambisa indawo yakhe kulolu hlelo. Uzimisele ngokudla umhlanganiso adlule abanye abantu futhi adume njengoZoe.",News Crawl 2019
Nadler would not rule out the idea of having the Sergeant-at-Arms haul the nation's top law enforcement into the House jail - and neither did Cicilline.,UNadler wayengeke awuchithe umqondo wokuthi iSergeant-at-Arms idonselele abomthetho abaphezulu ezweni lonke Endlin yejele - kanjalo noCicilline,News Crawl 2019
"There's plenty of options to choose from, be it a present for an active friend, or for a family member you know is missing that one bit of kit.","Kunezindlela eziningi  ongakhetha kuzo, kungaba yisipho somngani okhuthele, noma ilunga lomndeni olaziyo eliphuthelwe  yileyo naleyo khithi. ",News Crawl 2019
"This was Marta's 17th World Cup goal, putting her ahead of Germany's Miroslav Klose to become the top scorer in the history of both the men's and women's World Cups.","Leli kwaba yigoli likaMarta le-17 yeNdebe yoMhlaba, okumbeka phambili uMiroslav Klose waseGerman ukuthi abe ngumshayimagoli ohamba phambili emlandweni weNdebe yoMhlaba yabesilisa neyabesifazane.",News Crawl 2019
Hezbollah in Lebanon flew drones into Israel as early as 2004.,UHezbollah eLebanon wabalekela amadroni waya kwelase-Israyeli ekuqaleni konyaka we-2004.,News Crawl 2019
"The cause was lung cancer, according to Ms. Lester, who chronicled her aunt's travails last year in The New Yorker.","Imbangela bekungumdlavuza wamaphaphu, ngokusho kukaNksz Lester, owabona  inhlupheko kamalumekazi wakhe ngonyaka odlule eThe New Yorker.",News Crawl 2019
The point I was making was a very simple one.,Iphuzu engangiliveza  lalilula kakhulu.,News Crawl 2019
"Parliament will vote on May's alternative Brexit proposals on Tuesday, as well as a series of amendments that include delaying the UK's departure from the EU by negotiating an extension to Article 50. The UK is set to leave the bloc on March 29.","IPhalamende lizovota kwezinye iziphakamiso zikaMeyi ezenziwa eBrexit ngoLwesibili, kanye nochungechunge lwezichibiyelo ezibandakanya ukubambezela ukuphuma kwe-UK kwi-EU ngokuxoxisana ngokwelulwa kwe-Athikili yama- 50. I-UK kulindeleke ukuba ishiye leli bhulogi ngoMashi ziyi-29.",News Crawl 2019
"The new five-judge bench is headed by Chief Justice S.A. Bobde and comprises Justices Ashok Bhushan, S.A. Nazeer, D.Y. Chandrachud and Sanjiv Khanna.","Iqembu elisha lamajaji amahlanu liholwa yiJaji Eliyinhloko u-SA Bobde futhi liqukethe amaJaji u-Ashok Bhushan, S.A. Nazeer, D.Y. UChandrachud noSanjiv Khanna.",News Crawl 2019
"Even though it will cost more, I have no other way but to buy one.","Nakuba  kuzobiza kakhulu, anginayo enye indlela ngaphandle kokuthenga eyodwa.",News Crawl 2019
Peter Mukerjea too is jailed in the same case.,UPeter Mukerjea naye uboshiwe ecaleni elifanayo.,News Crawl 2019
"Property demographers are also keeping a sharp eye on Darlington, opposite Sydney University, where more than 50 per cent of the residents hold a bachelor-level degree.","Ababali bempahla babheke ngeso lokhozi iDarlington, maqondana neNyuvesi yaseSydney, lapho ngaphezulu kwamaphesenti ama-50 ezakhamizi aneziqu ze-Bachelor.",News Crawl 2019
"On Friday, an LNA warplane bombed the camp of a force allied to Serraj in Zuwara, west of Tripoli towards the Tunisian border, according to an LNA military source and residents.","NgoLwesihlanu, indiza yempi ye-LNA yahlasela ngebhomu ikamu lempi ebelihlangene noSerraj eZuwara, entshonalanga neTripoli ngasemngceleni waseTunisia, ngokusho komthombo wezempi kanye nezakhamizi zeLNA.",News Crawl 2019
Lord Lloyd Webber has produced best-selling and long-running musicals including Cats and Jesus Christ Supsterstar.,ILord Lloyd Webber ikhiqize izingoma ezidayise kakhulu nezidonsa isikhathi eside okubalwa kuzo Amakati neNgqalabutho enguJesu.,News Crawl 2019
But experts say an increasing number have made their children's pocket money cashless.,Kepha ochwepheshe bathi liyanda inani elenze izingane zabo zingabi nemali.,News Crawl 2019
"Striking workers, non-UAW workers and suppliers' workers are losing more than $30 million a day, estimates Anderson Economic Group in East Lansing, Michigan.","Izisebenzi ezitelekile, nalezo okungezona zase -UAW kanye nabahlinzeki balahlekelwa ngaphezu kwezigidi ezingama- $ 30 ngosuku, kulinganisela i-Anderson Economic Group e-East Lansing, eMichigan.",News Crawl 2019
"The leaders were turned back from the outskirts of Meerut, 75km (45 miles) northeast of New Delhi, Rahul Gandhi later told reporters.","Abaholi baye babuyiselwa  ogwini laseMeerut, elingamakhilomitha angama-75 (amamayeli angama-45) enyakatho-mpumalanga yeNew Delhi  kuphawula uRahul Gandhi kamuva etshela abezindaba.",News Crawl 2019
"Many protesters carried placards, some comparing Brexit to the election of U.S. President Donald Trump. Some wore elaborate costumes with one dressed as a banana holding a sign saying ""we are ""ripe"" for change.""","Ababhikishi abaningi bebephethe izingqwembe, abanye beqhathanisa uBrexit nokhetho lukaMengameli waseMelika uDonald Trump. Abanye bebegqoke imvunulo ebabazekayo omunye egqoke njengobhanana ephethe uphawu oluthi ""sesivuthiwe"" ushintsho. """,News Crawl 2019
"If there is any lesson to be derived from this book, they assert, it is that the Adamses ""were onto something when they observed that the errors of the people threatened ""government by the people.""""","Uma kukhona isifundo esingatholwa kule ncwadi, baqinisekisa ngokuthi, abakwa-Adamses ""babenokuthile lapho bebona ukuthi amaphutha abantu asencupheni "" nguhulumeni wabantu. """,News Crawl 2019
"Mr. Trump spoke again with Mr. LaPierre on Tuesday, and the president echoed the gun rights group's talking points from the Oval Office, saying that Democrats wanted to take radical steps in violation of the Second Amendment.","UMnu.Trump uphinde wakhuluma noMnu LaPierre ngoLwesibili, kanti nomengameli wenanela amaphuzu akhulunywa yiqembu lamalungelo okulwa nezibhamu avela eHhovisi le-Oval, wathi amaDemokhrathi afuna ukuthatha izinyathelo ezinqala ngokuphula iSichibiyelo Sesibili.",News Crawl 2019
"Other fossil finds, yet to be confirmed, include fish impaled on the spines of one another, wasp nests, flooded ant hills, ancient primates and the leaves of plants probably related to the modern banana tree.","Ezinye izindulu ezitholakele, kusamele ziqinisekiswe, kufaka phakathi izinhlanzi ezibethelwe emiqolo yomunye nomunye, izidleke zomnyovu, amagquma antuthayo agcwele amanzi, izinkawu zasendulo kanye namaqabunga ezitshalo okungenzeka ahlobene nesihlahla sikabhanana sanamuhla.",News Crawl 2019
Trump Defends His Golf Habit In Angry Tweets At London Mayor,UTrump Uvikela Umkhuba Wakhe Wegalofu KumaTwithi Athukuthele iMeya yaseLondon,News Crawl 2019
"So if you have that ability and confidence to do it, knowing that the boss is going to be happy for you to do it, you're going to try it.","Ngakho-ke uma unalelo khono nokuzethemba okwenza njalo, yazi ukuthi umphathi uzojabula ngawe ukuthi ukwenze futhi, uzobuye uzame futhi.",News Crawl 2019
"It is also essential to maintain a high level of epidemiological vigilance, in order to quickly identify new outbreaks of disease.","Kubalulekile futhi ukugcina izinga eliphakeme lokuqapha izifo, ukuze kutholakale ngokushesha ukuqubuka kwezifo ezintsha.",News Crawl 2019
