zu,en,source
"Sifisa nokugqugquzela nabanye ukuthi benze okufanayo ngoba ezemidlalo zisiza ezintweni eziningi njengo kulwa nobugebengu,� kusho yena.","We also want to encourage others to do the same because sports help in many things such as fighting crime, ,� he said.",Newspaper
"Izinhlelo zalefestiveli ka-37 zizobe zibanjelwe e-Inkosi Albert Luthuli International Convention Centre (DurICC), kusukela ngomhla ka 6 - 7 Disemba 2014.","The program for the 37th festival will be held at the Inkosi Albert Luthuli International Convention Centre (DurICC), from 6 - 7 December 2014.",Newspaper
Izinhlangano ezehlukene nazo ziba nemikhankaso eziyisingathayo ehambisana nomkhankaso wezinsuku eziyishumi nesithupha eqwashisa ngokuhlukunyezwa kwabantu besifazane nezingane. .,Various organisations also run their own campaigns in conjunction with a 16-day campaign to raise awareness of violence against women and children. .,Newspaper
Ngezansi :U Loyiso Bala uthathwe nomdidyeli womculo e KZN u Noel Kok no mculi u Ernie engqungqutheleni yeKumisa .,Below: Loyiso Bala was joined by KZN music producer Noel Kok and singer Ernie at the Kumisa conference.,Newspaper
Siyacela ukuthi abantu bayibike le nkinga.� UBadasar uthe wonke amaprojekthi asatshalaliswe eMkhandlwini wonke.,We urge people to report this problem.� Badasar said all projects have been rolled out across the Council.,Newspaper
"Kumele sibavikele abesifazane, izingane nabantu abangakwazi ukuzilwela.","We must protect women, children and vulnerable people.",Newspaper
UDkt Olowolagba ut he uphiko lwabo luzokwenza lokhu: Kunethimba elijutshelwe ukubhekela le nkinga lihambele imitholampilo ezindaweni ezithintekayo.,Dr Olowolagba said their unit would the following: A team has been tasked with addressing the problem and visiting clinics in the affected areas.,Newspaper
"UKimber uthe ukululwa komgwaqo kubize u-R7,3 million.","Kimber said the road extension cost R7,3 million.",Newspaper
Lengqungquthela ivalwe ngokuthi kuklonyeliswe oMasipala abenza kahle kulomkhakha woHlelo lwezeMpilo.,The conference closed with the presentation of awards to the best performing Municipalities in the field of Health Programs.,Newspaper
Ayishumi nesikhombisa kwahlehliswa ukukhethwa kwawo nguSomlomo kanti amanye angu 17 amiswa ngenxa yezizathu ezithize.,The election of seventeen of was postponed by the Speaker and 17 more were suspended for various reasons.,Newspaper
Abavunyelwe ukufaka amathenda yilabo kuphela abagunyazwe ngokugcwele kwa-Construction Education & Training Authority (CETA).,Only those who are fully accredited by the Construction Education & Training Authority (CETA) are eligible to tender.,Newspaper
Kulomhlangano wo cwaningo kwethulwe amaphepha abekhuluma ngezinto ezahlukene.,"At this research meeting, papers were presented on a variety of topics.",Newspaper
"Uveze ukuthi uhulumeni umeme izinkampani ezinkulu, izitolo zokudla nezezingubo ezinjengo- Massmart, Spar Group, Pick n Pay, Boxer Cash and Carry, Mr Price noWoolworths.","He said that the government had invited large companies, food and clothing stores such as Massmart, Spar Group, Pick n Pay, Boxer Cash and Carry, Mr Price and Woolworths.",Newspaper
Uthe lokhu kudinga ukushayelwa ihlombe kwazise bahambe phambili ngokuhlula oMasipala abangu-61 baseKhaya nabasezifundeni ezihlukene KwaZulu Natal.,He said this needed to be applauded as they had taken the lead in defeating 61 local and district Municipalities in KwaZulu-Natal.,Newspaper
I-Ningizimu Afrika isele emuva ekudayiseleni amanye amazwe.,South Africa lags behind in exports.,Newspaper
"Idume kabi ngegama elithi�Whoonga Park�, kanti kuqala lendawo ibigcwele ubugebengu okuhlanganisa izidakamizwa.","It is popularly known as ,�Whoonga Park�, and initially the area was riddled with crime, including drugs.",Newspaper
"ITheku nomphakathi bazozuza kakhulu ngokwakhiwa kwalomtapolwazi njengoba izohlinzeka ngolwazi nobuchwephese obusezingeni oluphezulu, iphinde yeseke ukuzuza kwabafundi beTheku lonke.","Durban and the community will benefit greatly from the construction of this library as it will provide quality information and technology, and support to benefit the students across Durban.",Newspaper
"Kanti abanye omasipala basebenza ngokohlelo oluhambisana neKomiti leMeya, kulabo masipala kusebenza izinqumo zeMeya.","And some municipalities operate according to a plan that is in line with the Mayoral Committee, in which municipalities implement the Mayor's decisions.",Newspaper
"Kufanele kufikwe 10:00, umhlangano ube uzoqala ngo-10:30.",Arrival time should be 10:00 and the meeting will start at 10:30.,Newspaper
"Imininingwane yemali ebizwayo Iziphakamiso kufanele zithunyelwe kwi-Pension Fund Administrator, Durban Pension Fund, P.O. Box 1017, Durban, engakadluli umhla ka 2016-05-30.","Details of the quotation Proposals must be submitted to the Pension Fund Administrator, Durban Pension Fund, PO Box 1017, Durban, by no later than 2016-05-30.",Newspaper
"US habalala uthe ukuze kugcinwe izinga lemakethe, kusenezinye izinhlelo ezisazokwenzeka.","Shabalala said that in order to maintain market levels, there were still some plans ahead.",Newspaper
Sigxile kakhulu ekuvundululeni umnotho eThekwini kanti ezamabhizinisi zineqhaza elikhulu ezilibambayo.,We are very focused on economic discovery in Durban and business plays a key role.,Newspaper
"“Kusolwa ukuthi lezi ezimbulele bezizokhwela kulezi zakwakhe. Isono sabo benoSithole kube wukuziphazamisa kwebezikwenza,” kubeka u-Insp. Sikhakhane.","""It is alleged that the assailants would have boarded his or her vehicles. Their sin with Sithole was a distraction from what they were doing, ”said Insp. Sikhakhane.",Newspaper
Wayesho ngezwi elinokuzimisela ethi abacindezelwe kumele bahlangane balwe kakhulu nokucindezelwa yidlanzana labamhlophe.,He was adamant that the oppressed must unite to fight the oppression of the white minority.,Novel
"Kusukela phakathi no-1963 kuya ekupheleni kuka-1987, wafundisa i- Ecology and Systematics, wagcina eseyiSenior Lecturer, iBamba leNhloko yoMnyango womnyango wokuqoqwa kwezitshalo.","From mid-1963 to the end of 1987, he taught Ecology and Systematics, eventually becoming a Senior Lecturer, Acting Head of the Department of Plant Collection.",Newspaper
NDIZANI: Vakasha eMgeni River Bird Park esanda kulungiswa ubukele imibukiso yezinyoni njalo ngoLwesibili kuze kube yiSonto ngo 10am nango 2pm nangamaholide ezikole.,FLY: Visit the newly renovated Umgeni River Bird Park and watch bird shows every Tuesday to Sunday at 10am and 2pm and during school holidays.,Newspaper
"Noma zilethwe ngesandla, zifakwe emvilophini evaliwe kuleli kheli: SmartXchange, 5th Floor, SmartXchange Building, 5 Walnut Road, eThekwini noma ziposelwe kuleli kheli: PO Box 5225, eThekwini 4000.","Or hand delivered, enclosed in a sealed envelope at this address: SmartXchange, 5th Floor, SmartXchange Building, 5 Walnut Road, Durban or posted to: PO Box 5225, Durban 4000.",Newspaper
Ukulahla udoti akwakhi amathuba emisebenzi.,Garbage disposal does not create job opportunities.,Newspaper
IDOLOBHA LIYANAKEKELA: USotswebhu uStanley Xulu enikeza omunye wabangu-20 abathole amatayitela abo abagunyaza ukuba babe nezindlu ezithi bona.,"THE CITY CARES: Chief Whip, Stanley Xulu, handing over one of the 20 recipients of their title deeds authorising them to own their own houses.",Newspaper
Uqale ukusebenza ngoMashi loMthetho.,This Act was effective from March.,Newspaper
Le mibhalo ayitholakali ngamaholide nangezimpelasonto.,These documents are not available on holidays and weekends.,Newspaper
Le nxanxathela yezitolo eseBerea isemkhankasweni oqanjwe nge �Give Water Save Water� onika abantu ithuba lokuba yingxenye futhi basize abantu abangenawo amanzi ahlanzekile okuphuza.,The Berea shopping mall is part of a campaign called �Give Water Save Water� which gives people the opportunity to participate and help people who do not have access to clean drinking water.,Newspaper
Yayinembe ikhohlisana ihlomelene.,They acted civil towards each other but they were each waiting for an opportunity to strike.,Novel
Lo mhlangano ubuhanjelwe amakhansela nobuholi boMkhandlu.,This meeting was attended by councilors and the leadership of the Council.,Newspaper
IZICELO EZIFIKE EMVA KWALESI SIKHATHI NGEKE ZAMUKELWE.,APPLICATIONS RECEIVED AFTER THIS TIME WILL NOT BE ACCEPTED.,Newspaper
Amathenda alabo abangezanga kulo mhlangano ayokhishelwa eceleni uma sekuhlungwa.,Tenders submitted by tenderers who did not attend this meeting will be put aside during selection.,Newspaper
"Uma sekwenziwa lolu hlelo, amakhalibhothi siyaye siwathathe agcine ngakithi.","When this process is done, we take the cardboard boxes and keep them with us.",Newspaper
Isithombe: THEMBA KHUMALO www.durban.gov.za ZANDILE MASIKANE no NOLUTHANDO MKHIZE UMASIPALA waseThekwini usanda kuthenga amabhasi angu-44 njengendlela yedolobha yokuthuthukisa ezokuthutha eThekwini.,Picture: THEMBA KHUMALO www.durban.gov.za ZANDILE MASIKANE and NOLUTHANDO MKHIZE EThekwini Municipality has recently purchased 44 buses as a way of improving Durban's transport system.,Newspaper
Wakhala ngokudazuluka uTiger uma esho la mazwi.,Tiger cried out loud when he said these words.,Novel
UMasipala weTheku uzohlanganyela nomhlaba wonke ukugubha usuku lokuzalwa kukaMandela.,EThekwini Municipality will join the rest of the world in celebrating Mandela's birthday.,Newspaper
Ngizobe ngilindile ukuthola ukusizakala.,I will be waiting to get assisted.,Newspaper
THEMBA KHUMALO AMAKHANSELA kaMasipala weTheku asekuqalile ukusebenza emuva kokuphothula uqeqesho lwawo emasontweni ambalwa adlule.,THEMBA KHUMALO EThekwini Municipal Councilors have resumed their work after completing their training a few weeks ago.,Newspaper
"U-TU NOKWE UTu Nokwe wakhulela endaweni yaKwaMashu kanti uyilungu lemindeni edumile kwezomculo, efaniswa nomndeni wakwaJackson phesheya kwezilwandle.","TU NOKWE Tu Nokwe grew up in the KwaMashu area and is a member of a well-known musical family, compared to the Jackson family overseas.",Newspaper
Umbukiso otshengisa amasiko alamaDolobha womabili uvulwe ngokusemthethweni nguShabalala noJean Jacque Kangue oyiSekela Meya wedolobha ngoMsombuluko.,"The cultural exhibition of the two cities was officially opened by Shabalala and Deputy Mayor, Jean Jacque Kangue, on Monday.",Newspaper
Asikwazi ukuya edolobheni noma sikhokhele i-inthanethi ukuze sikwazi ukusebenzisa izinsiza.,We can't go to town or pay for the internet so that we can use the services.,Newspaper
"Usuku lokugcina lokulethwa kweziphakamiso uLwesihlanu, mhlaka 23 Novemba 2012, ngo- 14:00.","The closing date for submissions is Friday, 23 November 2012, at 14:00.",Newspaper
I-CLAIRWOOD LOGISTICS PARK Lolu wuhlelo lwezokuthutha olulinganiselwa kuR3.5 billion.,CLAIRWOOD LOGISTICS PARK This is a transport system estimated at R3.5 billion.,Newspaper
"Njengabasingethe lo mcimbi, umnyango wakwa- BSTMU ufisa ukukhangisa ngendlela eseqophelweni eliphezulu, okubandakanya nengqalasizinda ezosetshenziswa kulo mbukiso.","As the host of the event, the BSTMU department wishes to advertise in a high quality manner, including the infrastructure that will be used at the exhibition.",Newspaper
"Bazokwazi ukuxhumana nosomabhizi-nisi abakhulu kanti ilapho bezokwazi khona ukuthola imisebenzi futhi lokho kuzoba nomthelela omuhle ekukhuliseni osomabhizinisi bethu,"" kusho yena.","""They will be able to connect with big business and this is where they will be able to find jobs and that will have a positive impact on the growth of our business,"" he or she said.",Newspaper
"Uma kwenzeka umbhali wencwadi engazanelisi lezi zidingo ezikuloluhla olungenhla, uMasipala weTheku uyoyishaya indiva imibono noma ukuphikisana kwakhe nalokhu okuhlongozwayo lapha.","In the event that the person who wrote the letter does not meet the above requirements, EThekwini Municipality will disregard his or her views or objections to the proposal.",Newspaper
Lesi ngesinye sezisombululo eziqhamuke kwingungquthela kaMasipala iGreening Summit ebibanjelwe eBotanical Gardens ngomhlaka 29 Septhemba.,This is one of the solutions that came out of the Municipal Greening Summit held at the Botanical Gardens on 29 September.,Newspaper
Izithandani esezikhulile uDennis Shongwe noThandazile Xaba nabo kuze kwamele basizwe omakhelwane ngemuva kokusha nomjondolo wabo.,"An elderly couple, Dennis Shongwe and Thandazile Xaba, also had to be assisted by neighbors after their shack caught fire.",Newspaper
Incwadi ephelezela isicelo echaza lokhu okulandelayo: a.,An accompanying letter explaining the following: a.,Newspaper
Yonke imibuzo Ucingo: 031-311 7509/7508 (S.,All inquiries Phone: 031-311 7509/7508 (S.,Newspaper
Yonke imibuzo: Ucingo: 031- 311 8756 (Bianca Govender).,All questions: Phone: 031- 311 8756 (Bianca Govender).,Newspaper
UMasipala wethule amabhasi amasha she wezokuHlaliswa kwabantu uTokyo Sexwale uthe lemiklomelo ngezinye zezindlela zokukhuthaza ukulethwa kwezinsiza.,The municipality has launched the new Human Settlements buses. Tokyo Sexwale said that these awards were one of the ways to promote service delivery.,Newspaper
"Ayikho enye inkundla esingafunda kuyona ukuthi senze lokho ngaphandle kwalo mbukiso weSustainable Living,� kusho uNxumalo.","There is no other forum in which we can learn to do that other than this Sustainable Living show, � said Nxumalo.",Newspaper
Isiza abadidiyeli bamafilimu base Afrika namaphethelo ngamacebo okuthi bangazithola kanjani izimali zokwenza amafilimu kubaxhasi.,It assists African filmmakers and beyond to figure out how to get funding for filmmaking from sponsors.,Newspaper
"Isithombe: SITHUNYELWE Emizamweni yokukhulisa umnotho nokwenza kube lula ukwenza ibhizinisi kuMasipala weTheku, iDolobha lisungule i-One Stop Shop okuhloswe ngayo ukuheha utshalomali kanye nentuthuko.","Picture: DISTRIBUTED In an effort to grow the economy and facilitate business in EThekwini Municipality, the City has established a One Stop Shop aimed at attracting investment and development.",Newspaper
Ubufakazi bokubhalisa emikhandlwini efanele yemboni ibhizinisi elikuyona (lapho lokhu kudingeka khona) 14.,Proof of registration with the relevant industry councils in which the business is situated (where applicable) 14.,Newspaper
"Enyangeni yesithathu ngemuva kokuthathwa isikweletu okuyisonasona, kukhokhiswa enye futhi iVAT (ithe xaxa noma ithe ukwehla kokusetshenzisiwe).","In the third month after the actual debt is deducted, another VAT is charged (increased or decreased in use).",Newspaper
"Ngithanda ukubonga wonke umuntu owahambela lomcimibi, benza kwaba usuku engingasoze ngalukhohlwa.","I would like to thank everyone who attended the event, making it a day I will never forget.",Newspaper
"UMasipala usudale amathuba omsebenzi alinganiselwa ku-134 883, okuyisibalo esikhulu ukwedlula wonke amadolobha eNingizimu Afrika.",The Municipality has created an estimated 134 883 jobs which is the largest number out of South African Cities.,Newspaper
"Uma sekuphela isikhathi sabo ngo-2016, uGumede uthe ufuna ukubona iTheku selisezingeni elikahle kakhulu kwezendalo.","At the end of their term in 2016, Gumede said he or she wanted to see Durban as a better environment.",Newspaper
Kubalulekile ukuqaphela ukuthi izibalo zakhelwe noma zisukela phezu kohlelo oludwetshiwe.,It is important to note that the statistics are built on or based on a planned program.,Newspaper
Kusolwa ukuthi ikhandlela eliqale umlilo owaphetha ngokuthi uSibahle Vilakazi elahlekelwe impilo yakhe ebusuku ngoMgqibelo.,It is alleged that the candle that started the fire ended with Sibahle Vilakazi losing his or her life on Saturday night.,Newspaper
Umnyango wezokuThutha eThekwini (ETA) nowezimoto wakwa-City Fleet iyasebenzisana ukuxazulula le nkinga.,The EThekwini Department of Transport (ETA) and City Fleet's vehicles are working together to address this problem.,Newspaper
Efforts towards self-development.,Efforts towards self-development.,Newspaper
Sekuyimnyaka uMasipala uxoxisana nezinkampani zamafoni ukuthi zibe nolayini wocingo wamahhala wokufonela i-call centre yakwa-EWS.,For a year now the Municipality has been negotiating with mobile operators to have a toll-free line for the EWS call centre.,Newspaper
"UNobhala Jikelele we-United Nations, uBan Ki-moon nePhini likaMengameli wezwe uCyril Ramaphosa bexoxisana nentsha.","United Nations Secretary-General, Ban Ki-moon, and Deputy President, Cyril Ramaphosa in talks with the youth.",Newspaper
"Kufanele kufikwe ngo-9:30, umhlangano ube uzoqala ngo-10:00.","Arrival is at 9:30, with the meeting starting at 9:00.",Newspaper
I-Central Library izobeka iTheku ebalazweni lomhlaba iphinde ivuselele idolobha.,The Central Library will put Durban on the world map and revitalise the city.,Newspaper
Kusukela ngo- Julayi imali etholwa amavolontiya isingu-R50 ngosuku mese kuthi imali ekhokhelwa izimoto ezibathuthayo ngosuku ikhuphukele ku-R210 ngosuku.,"From July, volunteers receive R50 a day and the daily rate for the vehicles transporting them increases to R210 a day.",Newspaper
"UGumede obephekezelwa amaKhansela ubekhuluma nabagibeli, nabadayisi eRenki yamabhasi kuWarwick Triangle emkhankasweni wokugqugquzela abantu ukuthi bonge amanzi.","Gumede, who was accompanied by the councilors, was speaking to the commuters and vendors at the Warwick Triangle Bus Terminus on a campaign to encourage people to save water.",Newspaper
Okhathazekile AmaPhoyisa kaMasipala weTheku azama konke okusemandleni ukuqinisekisa ukulandelwa komthetho.,Concerned EThekwini Metro Police are trying their best to ensure compliance.,Newspaper
Kuzomele abike eKomidini ngesimo sezimali kanye nokungenelela.,He or she must report to the Committee with regard to the financial situation and the intervention.,Newspaper
Uthisha wase-Ingede Primary School uThandazile Majola ofundisa ibanga lesikhombisa uthe umqeqesho umvule umqondo kakhulu ngoba kuningi akufundile.,"Ingede Primary School teacher Thandazile Majola, a Grade 7 teacher, said that the training opened her mind because she had learned so much.",Newspaper
"Ekwakhiweni kweCato Manor Museum, ukuqeqeshwa kwabantu abangu-30 akusizanga kuphela ekufezeni lo msebenzi kodwa kuthuthukise amakhono abantu abebengenawo phambilini.","In the construction of the Cato Manor Museum, the training of 30 people not only helped to accomplish this task but also enhanced the skills of people who had never had them before.",Newspaper
Lokhu kungenye yezinto ezitholakale kwisithangami sokufundisana esithathe izinsuku ezimbili esaziwa ngokuthi yiSpatial Equity ebesibanjelwe eMoses Mabhida Stadium phakathi komhlaka 30 no-31 Agasti.,This is one of the findings of a two-day workshop called Spatial Equity held at Moses Mabhida Stadium between August 30 and 31.,Newspaper
Essential Requirements: �Relevant 3 year tertiary qualification. (Degree or Diploma). �Valid motor vehicle driving license (Code B). �6 Years relevant experience.,Essential Requirements: �Relevant 3 year tertiary qualification. (Degree or Diploma). �Valid motor vehicle driving license (Code B). �6 Years relevant experience.,Newspaper
Nakuba uTiger wayengakhumbuli ukuthi ingxoxo ngezombusazwe yayiqale kanjani kodwa wayekhumbula ukuthi amehlo kaBongani ayeshintsha uma ekhuluma ngokubangwa kwezwe.,"Although Tiger did not remember how the political debate started, he did remember that Bongani's eyes widened when he spoke of fighting over the country.",Novel
"USomlomo weTheku uLogie Naidoo uthe ubudlelwane phakathi kweNingizimu Afrika, iKwaZulu-Natali naleli Dolobha buhle ITheku liqinise amaxhama nelaseMozambique kakhulu.","EThekwini Speaker, Logie Naidoo, said that relations between South Africa, KwaZulu-Natal and this City were good. Durban strengthened ties with Mozambique.",Newspaper
Kubalulekile ukuthi ngicacise izinto ezimbalwa ngaphambi kokuba ngiphethe ngalo mbiko osudale ukwethuka emphakathini.,It is important that I clarify a few things before concluding this report that has created panic in the community.,Newspaper
Imibuzo ebuzwayo: Kungabe labo abasolwayo bayobhekana namacala?,Frequently asked questions: Will the suspects face charges?,Newspaper
Umlando uziphindile ngesikhathi iqembu lebhola lezinyawo labesilisa lidla umhlanganiso kulomkhakha linenebula uMzinyathi kowamanqamu.,History repeated itself when the men's soccer team won the tournament by beating Umzinyathi in the final.,Newspaper
Kwathuleka kwathi cwaka endlwaneni lapho ababexoxela khona.,Silence fell over the conversation in the small house where they had the talks.,Novel
Kuzoba nomhlangano nabo bonke abathintekayo ukuze kudingidwe ngale phrojekthi.,There will be a meeting with all stakeholders to discuss this project.,Newspaper
Ngakho abantu bayacela yukuthi basheshe babekise izindawo kusenesikhathi.,So people are being asked to book places early.,Newspaper
Ludabuka e-Aldabra Islands eSeychelles kanti lwase lukhona ngeMpi yokuQala neyesiBili yoMhlaba nangesikhathi kuqala iNingizimu Afrika yentando yeningi.,It originated in the Aldabra Islands in the Seychelles and was present during the First and Second World Wars and when the democratic South Africa began.,Newspaper
IDolobha libe nesitende laso lapho belibukisa khona.,The City had its own tent where it exhibited.,Newspaper
"IKhansela lakuWard 28 uNtando Khuzwayo ligqugquzele abantu abahambela eThekwini nsuku zonke ukuba balinakekele. �Leli yiDolobha lenu, kumele niqinisekise ukuthi lihlanzekile,� kusho yena.","Ward 28 Councilor, Ntando Khuzwayo, encouraged people who visit Durban daily to take care of it. ""�This is your city, you have to make sure it is clean,� "" he or she said.",Newspaper
Silindele ukuthi wonke amamitha abe eselungile maphakathi noNovemba.,We expect all meters to be ready by mid-November.,Newspaper
Lo Mthetho uzobeka amazinga ezokuphepha okumele kuhlangatshezwane nawo.,The Act will set safety standards to be met.,Newspaper
Ukulungiselela iphrojekthi izinhla zemibuzo ezobuzwa umuzi nomuzi 4.,"In preparation for the project, the lists of questions to be asked from house to house 4.",Newspaper
"Siyajabula ukuthi lolu hlelo selukhule kangaka lwaze lwakapakela kuwona wonke amawadi aseThekwini,� kusho uNyawo.","We are pleased that this program has grown so much that it has spread to every ward in Durban, � said Nyawo.",Newspaper
"Idolobha lethu linesibalo esikhulu sesizwe samaNdiya ngaphandle kwezwe laseNdiya, kanti sibone lehla kakhulu isasasa lendwangu yosari.","Our city has a large Indian population outside of India, and we have seen a sharp decline in the popularity of the sari fabric.",Newspaper
Le zichibiyelo zimayelana nemigomo elawula ezokupaka ekhona njengamanje kosomqulu abehlukene bezokuhlelwa kwedolobha: 1.,These amendments reflect the current parking regulations in various city planning documents: 1.,Newspaper
Sinesivumelwano namaKhosi esizokwenza sikwazi ukubhekana nezindleko zenkundla.,We have an agreement with Amakhosi that will enable us to cover the cost of the stadium.,Newspaper
Yonke imibuzo: Ucingo: 031-322 5119 (Siyabonga Ncanana).,All questions: Phone: 031-322 5119 (Siyabonga Ncanana).,Newspaper
IKomidi leGovernance and Human Resources lona lizoholwa nguKhansela uBarbara Fontein kanti uKhansela uSipho Kaunda unikezwe esokuhola iKomidi lezokuThuthukiswa koMnotho nokuHlela.,The Governance and Human Resources Committee will be chaired by Councilor Barbara Fontein and Councilor Sipho Kaunda has been appointed to chair the Economic Development and Planning Committee.,Newspaper
Inkomfa ithuthukisa ezokungcebeleka edolobheni lethu nakwi Sifundazwe saKwaZulu-Natal kanti iqhakambisa ubuhle beThekuwo.,The conference promotes tourism in our city and the Province of KwaZulu-Natal and highlights the beauty of Durban.,Newspaper
"Lo mcimbi oba kanye ngonyaka futhi ohlale uhlinzekela idolobha laseThekwini ngomnotho, uzoba ngesonto elizayo mhlaka 27 Febhuwari, e-Inkosi Albert Luthuli International Convention Centre (ICC).","The once-a-year event, which always provides for the economy of Durban, will take place next week on 27 February, at the Inkosi Albert Luthuli International Convention Centre (ICC).",Newspaper
"Let us challenge militarism and end violence against women�, uzothulwa ngokusemthethweni ngeSonto (25 Novemba 2012) eholo laseMagaba, eMpumalanga.","Let us challenge militarism and end violence against women�, it will be officially launched on Sunday (25 November 2012) at the Magaba Hall, in Mpumalanga.",Newspaper
Yonke imibuzo: Ucingo: 031- 311 7325 (T.G.,All questions: Phone: 031- 311 7325 (T.G.,Newspaper
Yonke imibuzo: Ucingo: 031- 311 7116 (D.,All questions: Phone: 031- 311 7116 (D.,Newspaper
"Ngemuva kokuthi uNombembe ugxeke loMkhandlu ngalokhu, iMeya uJames Nxumalo wazibophezela ngokuthi kuzokwenziwa okuthile ukuze kunqandwe ukuthi lesi simo singenzeki futhi nangomuso.","After Nombembe criticized this Council for this, Mayor James Nxumalo vowed to do something to prevent this from happening again in the future.",Newspaper
"Lomcimbi obusingethwe yiCato Manor Area Based Management Office ngokubambisana noMnyango wezeMpilo eThekwini, bekuhloswe ngawo ukusondeza izidingo ngqangi kubantu.","The event, hosted by the Cato Manor Area Based Management Office in partnership with the EThekwini Department of Health, was aimed at bringing basic services closer to the people.",Newspaper
Wacabanga kakhulu ngale nto.,He or she thought a lot about this.,Novel
"Abafike sekushaye u-10:00, ngeke bavunyelwe ukungena emhlanganweni.",Those who arrive at 10:00 will not be allowed to enter the meeting.,Newspaper
SIYABONGA: Amalunga e-DAC behlomuliswa ngokuzinikela kwimboni yeKZN Automotive industry.,THANK YOU: The DAC members benefit from their commitment to the KZN Automotive industry.,Newspaper
Njengoba kuzobe kuqhubeka imikhankaso yezinsuku ezingu-16 kulwiswana nokuhlukunyezwa kwabesifane nezingane kuzoba khona nemicimbi emikhulu ezodonsa amahlo abantu abaningi.,"As the 16 Days of Activism Against Violence Against Women and Children continues, there will be major events that will attract the attention of many.",Newspaper
Lokhu kukhomba izinhloso nokubekwe phambili okufanayo nokwakha umqondo omusha wokusebenza ngokubambisana okuzoqinisa i-UCLG.,This identifies the same goals and priorities and creates a new concept of teamwork that will strengthen UCLG.,Newspaper
"Ukuze siqinisekise ukuthi umphakathi wazikabanzi ngezinhlelo zikaMasipala, amalungu abezindaba siwanika yonke imininingwane yemihlangano nemibiko yoMkhandlu.","To ensure that the public is fully informed of the Municipality's plans, we provide members of the media with full details of Council meetings and reports.",Newspaper
Kulinganiselwa ukuthi abafaka amathenda Kufanele babe ne-CIDB esesigabeni 7GB noma ngaphezulu.,It is estimated that those who submit tenders must have CIDB at level 7GB or above.,Newspaper
Essential Requirements: �A relevant 3 year degree or a recognised 3 year diploma in Human Resources Management. �Valid motor vehicle drivers license (Code B). �4 Years relevant experience.,Essential Requirements: �A relevant 3 year degree or a recognised 3 year diploma in Human Resources Management. �Valid motor vehicle drivers license (Code B). �4 Years relevant experience.,Newspaper
"UPerry Moodley, wakwaDurban Tourism, uthe lezi zikhangiso zizokwenziwa ngezilimu ezingu-20 bese zisakazwa emakhaya angu- 130 million emazweni angu- 59.","Perry Moodley, of Durban Tourism, said these adverts would be in 20 languages and broadcast to 130 million homes in 59 countries.",Newspaper
Essential Requirements: �Relevant 3 year tertiary qualification (Degree or Diploma). �Valid motor vehicle driving license (Code B). �3 Years relevant experience. �Computer Literacy.,Essential Requirements: �Relevant 3 year tertiary qualification (Degree or Diploma). �Valid motor vehicle driving license (Code B). �3 Years relevant experience. �Computer Literacy.,Newspaper
Lo msebenzi uhlukene izigaba ezimbili.,This work is divided into two phases.,Newspaper
Umonakalo odalwe yilezi zikhukhula ibalelwa ezinkulungwaneni zamarandi.,The damage from the floods is estimated at thousands of rands.,Newspaper
IKomidi eliPhezulu likaMasipala weTheku ngomhlaka 8 Juni ligunyaze ukuxhaswa kokubanjwa kwalo mhlangano.,The EThekwini Municipal Executive Committee on June 8 approved support for this meeting to be held.,Newspaper
Bobabili bazokwakha ubuhlobo phakathi kweMANCOSA neNovosibirsk State University of Economics and Management okuyisikhungo esihamba phambili eRussia.,They will both will build a partnership between MANCOSA and Novosibirsk State University of Economics and Management which is Russia's leading institution.,Newspaper
Emhlanganweni wakamuva we-EXCO obuse City Hall amalungu aphasise umbiko obuchaza kabanzi ngokuthi lolu hlelo luzosebenza kanjani.,"At a recent EXCO meeting at the City Hall, members approved a report outlining how the program will work.",Newspaper
Inhloso yalolu hlelo ukucija abantu besifazane abanamabhizinisi asakhula ngamakhono ahlukahlukene okuphathwa kwebhizinisi okubalwa kuwona nawokuphatha imali.,"The aim of the program is to equip young women entrepreneurs with various business management skills, including financial management.",Newspaper
"Okwamanje izinhlelo zethu zisuka emidlalweni yemkhumulajezi kuze kufika kweyandulela eyamanqamu, sikwenza lokhu ngokukhulu ukuzithemba ukuthi sizonikezwa ukuthisingatha imidlalo eyandulela eyamanqamu.","At the moment our plans are from the playoffs to the semi-finals, and we are doing so with the utmost confidence that we will be given the opportunity to host the semi-finals.",Newspaper
Ngaphandle nje kwalemicimbi ebalulwe lapha kuneminye iminingi esike yasingathwa iTheku ngempumelelo enkulu.,Apart from the aforementioned events there are many others that have been hosted by Durban with great success.,Newspaper
"Njengamanje, iKomidi eliPhezulu mhlaka 8 Juni liphasise umbiko wokukhushulwa kwamaholo ngaphansi kwalolu hlelo.","Currently, the Executive Committee on June 8 has approved a report on wage increases under this program.",Newspaper
I-One Nation Cup yimidlalo yebhola lezinyawo eba khona njalo eminyakeni emibili kanti owanonyaka uhlelelwe ukuba mhlaka 30 Meyi kuya ku 04 Juni 2016.,The One Nation Cup football tournament that happens every 2 years and this year's event is scheduled for May 30 to 04 June 2016.,Newspaper
Imikhawulo yamanzi Ukufakwa kwemikhawulo ngenye yezindlela zokonga amanzi.,Water restrictions: Restrictions are one of the ways to save water.,Newspaper
"Intela yentengo: R1,663,313.87.","VAT: R1,663,313.87.",Newspaper
